id,attaches
1,"[{""name"": ""C000059472-1 개별계약서 정보시스템개발구축분야.pdf"", ""path"": ""approval_2025_attachments/apr15167823/C000059472-1 개별계약서 정보시스템개발구축분야.pdf""}, {""name"": ""20210104_골드트리_LGC 실험실행관리시스템 _계약서.doc"", ""path"": ""approval_2025_attachments/apr15167823/20210104_골드트리_LGC 실험실행관리시스템 _계약서.doc""}, {""name"": ""20210104_유윤수_LGC 실험실행관리시스템 _계약서.doc"", ""path"": ""approval_2025_attachments/apr15167823/20210104_유윤수_LGC 실험실행관리시스템 _계약서.doc""}, {""name"": ""20210104_에술과기술_LGC 실험실행관리시스템 _장웅식_계약서.doc"", ""path"": ""approval_2025_attachments/apr15167823/20210104_에술과기술_LGC 실험실행관리시스템 _장웅식_계약서.doc""}]"
2,"[{""name"": ""근로자 파견 기본계약서(20201221).doc"", ""path"": ""approval_2025_attachments/apr15168441/근로자 파견 기본계약서(20201221).doc""}, {""name"": ""개별계약서_정지영_(20201221).xlsx"", ""path"": ""approval_2025_attachments/apr15168441/개별계약서_정지영_(20201221).xlsx""}, {""name"": ""(애니파이브)파견 서비스 대행료 내역서(20201221).pdf"", ""path"": ""approval_2025_attachments/apr15168441/(애니파이브)파견 서비스 대행료 내역서(20201221).pdf""}]"
3,"[{""name"": ""김선홍_전자결재_출장 품의서.zip"", ""path"": ""approval_2025_attachments/apr15162004/김선홍_전자결재_출장 품의서.zip""}]"
5,"[{""name"": ""20201214 _(주)지웰에스지_DGSIT_연구사업 평가시스템 구축_임종덕.doc"", ""path"": ""approval_2025_attachments/apr15178865/20201214 _(주)지웰에스지_DGSIT_연구사업 평가시스템 구축_임종덕.doc""}, {""name"": ""20201214 _(주)쎈플러스_DGIST_연구사업 평가시스템 구축_송지윤.doc"", ""path"": ""approval_2025_attachments/apr15178865/20201214 _(주)쎈플러스_DGIST_연구사업 평가시스템 구축_송지윤.doc""}]"
6,"[{""name"": ""2020-A31호_용역계약서_박창준(20201203).doc"", ""path"": ""approval_2025_attachments/apr15177378/2020-A31호_용역계약서_박창준(20201203).doc""}]"
7,"[{""name"": ""사업자등록증_우리은행.pdf"", ""path"": ""approval_2025_attachments/apr15179751/사업자등록증_우리은행.pdf""}, {""name"": ""애니파이브_견적_Rsupport RemoteCall_ASP (4.0Basic)_2020.pdf"", ""path"": ""approval_2025_attachments/apr15179751/애니파이브_견적_Rsupport RemoteCall_ASP (4.0Basic)_2020.pdf""}]"
8,"[{""name"": ""김현성 입사지원서.pdf"", ""path"": ""approval_2025_attachments/apr15188281/김현성 입사지원서.pdf""}]"
9,"[{""name"": ""기타경비 증빙서류(20210106).pdf"", ""path"": ""approval_2025_attachments/apr15182306/기타경비 증빙서류(20210106).pdf""}]"
10,"[{""name"": ""애니파이브_대우조선해양_검색엔진_발주서(20210106).xls"", ""path"": ""approval_2025_attachments/apr15184591/애니파이브_대우조선해양_검색엔진_발주서(20210106).xls""}]"
13,"[{""name"": ""도시가스_2020년12월.png"", ""path"": ""approval_2025_attachments/apr15184385/도시가스_2020년12월.png""}, {""name"": ""전기세_2020년12월.jpg"", ""path"": ""approval_2025_attachments/apr15184385/전기세_2020년12월.jpg""}]"
15,"[{""name"": ""20210107_132734.jpg"", ""path"": ""approval_2025_attachments/apr15193931/20210107_132734.jpg""}, {""name"": ""20210107_132703.jpg"", ""path"": ""approval_2025_attachments/apr15193931/20210107_132703.jpg""}]"
18,"[{""name"": ""2020-12 출장명세서.xlsx"", ""path"": ""approval_2025_attachments/apr15213513/2020-12 출장명세서.xlsx""}, {""name"": ""기간별_사용내역.xls.xlsx"", ""path"": ""approval_2025_attachments/apr15213513/기간별_사용내역.xls.xlsx""}, {""name"": ""영수증 _ 하이패스 홈페이지_12.pdf"", ""path"": ""approval_2025_attachments/apr15213513/영수증 _ 하이패스 홈페이지_12.pdf""}]"
24,"[{""name"": ""김혜정_택시_20201230.JPG"", ""path"": ""approval_2025_attachments/apr15219472/김혜정_택시_20201230.JPG""}, {""name"": ""김혜정_택시_20210104.JPG"", ""path"": ""approval_2025_attachments/apr15219472/김혜정_택시_20210104.JPG""}]"
25,"[{""name"": ""김혜정_식대_20201209.jpg"", ""path"": ""approval_2025_attachments/apr15219427/김혜정_식대_20201209.jpg""}, {""name"": ""김혜정_식대_20201230_.PNG"", ""path"": ""approval_2025_attachments/apr15219427/김혜정_식대_20201230_.PNG""}]"
29,"[{""name"": ""DGIST 출장비  하이패스 영수증2.pdf"", ""path"": ""approval_2025_attachments/apr15237032/DGIST 출장비  하이패스 영수증2.pdf""}, {""name"": ""DGIST 출장비  하이패스 영수증1.pdf"", ""path"": ""approval_2025_attachments/apr15237032/DGIST 출장비  하이패스 영수증1.pdf""}, {""name"": ""20210114_DGIST 출장비 상세내역.xlsx"", ""path"": ""approval_2025_attachments/apr15237032/20210114_DGIST 출장비 상세내역.xlsx""}]"
32,"[{""name"": ""지식재산권 및 기술이전 관리 시스템 SAP 연동_견적서-복사.pdf"", ""path"": ""approval_2025_attachments/apr15241791/지식재산권 및 기술이전 관리 시스템 SAP 연동_견적서-복사.pdf""}, {""name"": ""지식재산권 및 기술이전 관리 시스템 고도화_계약서_스캔본.pdf"", ""path"": ""approval_2025_attachments/apr15241791/지식재산권 및 기술이전 관리 시스템 고도화_계약서_스캔본.pdf""}]"
33,"[{""name"": ""2021년_외주용역비 지급내역 상세(20210115).xlsx"", ""path"": ""approval_2025_attachments/apr15241300/2021년_외주용역비 지급내역 상세(20210115).xlsx""}, {""name"": ""2021년_소싱 실적관리_20210115.xlsx"", ""path"": ""approval_2025_attachments/apr15241300/2021년_소싱 실적관리_20210115.xlsx""}]"
35,"[{""name"": ""이원정보기술_통장사본 (2).pdf"", ""path"": ""approval_2025_attachments/apr15255805/이원정보기술_통장사본 (2).pdf""}, {""name"": ""이원정보 전자세금계산서.pdf"", ""path"": ""approval_2025_attachments/apr15255805/이원정보 전자세금계산서.pdf""}]"
39,"[{""name"": ""ETRI 통합정보시스템(응용) 유지관리_매입계약 비용(201903).xlsx"", ""path"": ""approval_2025_attachments/apr15260823/ETRI 통합정보시스템(응용) 유지관리_매입계약 비용(201903).xlsx""}]"
40,"[{""name"": ""우리씨엔씨_권민수(중급,JAVA,VUE.JS).docx"", ""path"": ""approval_2025_attachments/apr15260341/우리씨엔씨_권민수(중급,JAVA,VUE.JS).docx""}]"
41,"[{""name"": ""김선관_고급_퍼블리셔.docx"", ""path"": ""approval_2025_attachments/apr15260360/김선관_고급_퍼블리셔.docx""}]"
42,"[{""name"": ""박건규-공공-금융-ERP-평가-정보관리-JAVA-SCRIPT-SPRING-Maria DB-중급.doc"", ""path"": ""approval_2025_attachments/apr15260370/박건규-공공-금융-ERP-평가-정보관리-JAVA-SCRIPT-SPRING-Maria DB-중급.doc""}]"
43,"[{""name"": ""우리씨엔씨_최동권(중급).doc"", ""path"": ""approval_2025_attachments/apr15260379/우리씨엔씨_최동권(중급).doc""}]"
45,"[{""name"": ""숙명여자대학교 SAP구매신청 품의.pdf"", ""path"": ""approval_2025_attachments/apr15263937/숙명여자대학교 SAP구매신청 품의.pdf""}, {""name"": ""애니파이브_숙명여자대학교_SAP연동_발주서_넥스퍼스(20210119).pdf"", ""path"": ""approval_2025_attachments/apr15263937/애니파이브_숙명여자대학교_SAP연동_발주서_넥스퍼스(20210119).pdf""}]"
46,"[{""name"": ""한국정보통신공사협회 회원가입시 혜택.hwp"", ""path"": ""approval_2025_attachments/apr15263459/한국정보통신공사협회 회원가입시 혜택.hwp""}]"
47,"[{""name"": ""애니파이브_한국연구재단_ITSM_발주서_에스티이지(20210119).pdf"", ""path"": ""approval_2025_attachments/apr15263948/애니파이브_한국연구재단_ITSM_발주서_에스티이지(20210119).pdf""}]"
48,"[{""name"": ""SCG솔루션즈 매입내역_202011.pdf"", ""path"": ""approval_2025_attachments/apr15270125/SCG솔루션즈 매입내역_202011.pdf""}, {""name"": ""전자세금계산서_데이터쎌테크(2건).pdf"", ""path"": ""approval_2025_attachments/apr15270125/전자세금계산서_데이터쎌테크(2건).pdf""}, {""name"": ""전자세금계산서_운송비.pdf"", ""path"": ""approval_2025_attachments/apr15270125/전자세금계산서_운송비.pdf""}]"
